category,test,kernel,baseline_ns,instrumented_ns,overhead_pct,slowdown_x
divZero,divByZero,testDivByZero,5440,46592,756.47,8.56
divZero,logB_test,testLogBZero,3136,10880,246.93,3.46
invalid,div,testInvalidDiv,4256,28448,568.42,6.68
invalid,fma_zero_inf,testInvalidFMA,3136,20992,569.38,6.69
invalid,inf_sub,testInvalidInfSub,3168,13664,331.31,4.31
invalid,mul_zero_inf,testInvalidMul,3072,13728,346.87,4.46
overflow,round_nearest,testOverflow_RoundNearest,3104,10368,234.02,3.34
overflow,round_negative,testOverflow_RoundNegative,3072,8192,166.66,2.66
overflow,round_positive,testOverflow_RoundPositive,3168,8224,159.59,2.59
overflow,round_zero,testOverflow_RoundZero,3040,10336,240.00,3.40
underflow,denormal,testDenormalOperations,3104,22496,624.74,7.24
underflow,gradual,testGradualUnderflow,3104,33536,980.41,10.80
underflow,iterative,testIterativeUnderflow,5152,718816,13852.17,139.52
underflow,rounding,testUnderflow_RoundNearest,3808,25120,559.66,6.59
