category,test,status,invalid,divzero,overflow,underflow,total,subnormal,kernels_launched,notes
divZero,divByZero,ok,1,8,0,0,0,0,1,
divZero,logB_test,ok,0,0,0,0,0,0,1,
invalid,div,ok,5,1,0,0,0,0,1,
invalid,fma_zero_inf,ok,5,0,0,0,0,0,1,
invalid,inf_sub,ok,4,0,0,0,0,0,1,
invalid,mul_zero_inf,ok,4,0,0,0,0,0,1,
invalid,sqrt,build_failed_device,,,,,,,device pipeline error
overflow,round_nearest,ok,0,0,1,0,0,0,1,
overflow,round_negative,ok,0,0,0,0,0,0,1,
overflow,round_positive,ok,0,0,0,0,0,0,1,
overflow,round_zero,ok,0,0,1,0,0,0,1,
underflow,basic,build_failed_device,,,,,,,device pipeline error
underflow,denormal,ok,0,0,0,0,0,0,1,
underflow,gradual,ok,0,0,0,7,0,0,1,
underflow,iterative,ok,0,0,0,0,0,0,1,
underflow,rounding,ok,0,0,0,0,0,0,1,
