index	file	func	line	func_pretty	is_kernel	op
0	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z24cuda_compute_step_factoriPfS_S_	208	cuda_compute_step_factor(int, float*, float*, float*)	1	fdiv
1	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z24cuda_compute_step_factoriPfS_S_	209	cuda_compute_step_factor(int, float*, float*, float*)	1	fdiv
2	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z24cuda_compute_step_factoriPfS_S_	210	cuda_compute_step_factor(int, float*, float*, float*)	1	fdiv
3	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z24cuda_compute_step_factoriPfS_S_	215	cuda_compute_step_factor(int, float*, float*, float*)	1	fmul
4	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z24cuda_compute_step_factoriPfS_S_	220	cuda_compute_step_factor(int, float*, float*, float*)	1	fmul
5	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z24cuda_compute_step_factoriPfS_S_	225	cuda_compute_step_factor(int, float*, float*, float*)	1	fmul
6	/opt/rocm-7.2.4/lib/llvm/lib/clang/22/include/__clang_hip_math.h	_Z24cuda_compute_step_factoriPfS_S_	722	cuda_compute_step_factor(int, float*, float*, float*)	1	sqrt
7	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z24cuda_compute_step_factoriPfS_S_	246	cuda_compute_step_factor(int, float*, float*, float*)	1	fadd
8	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	208	cuda_compute_flux(int, int*, float*, float*, float*)	1	fdiv
9	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	209	cuda_compute_flux(int, int*, float*, float*, float*)	1	fdiv
10	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	210	cuda_compute_flux(int, int*, float*, float*, float*)	1	fdiv
11	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	215	cuda_compute_flux(int, int*, float*, float*, float*)	1	fmul
12	/opt/rocm-7.2.4/lib/llvm/lib/clang/22/include/__clang_hip_math.h	_Z17cuda_compute_fluxiPiPfS0_S0_	722	cuda_compute_flux(int, int*, float*, float*, float*)	1	sqrt
13	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	220	cuda_compute_flux(int, int*, float*, float*, float*)	1	fmul
14	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	225	cuda_compute_flux(int, int*, float*, float*, float*)	1	fmul
15	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	187	cuda_compute_flux(int, int*, float*, float*, float*)	1	fmul
16	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	188	cuda_compute_flux(int, int*, float*, float*, float*)	1	fmul
17	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	189	cuda_compute_flux(int, int*, float*, float*, float*)	1	fmul
18	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	193	cuda_compute_flux(int, int*, float*, float*, float*)	1	fmul
19	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	194	cuda_compute_flux(int, int*, float*, float*, float*)	1	fmul
20	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	198	cuda_compute_flux(int, int*, float*, float*, float*)	1	fmul
21	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	200	cuda_compute_flux(int, int*, float*, float*, float*)	1	fadd
22	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	201	cuda_compute_flux(int, int*, float*, float*, float*)	1	fmul
23	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	202	cuda_compute_flux(int, int*, float*, float*, float*)	1	fmul
24	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	203	cuda_compute_flux(int, int*, float*, float*, float*)	1	fmul
25	<unknown>	_Z17cuda_compute_fluxiPiPfS0_S0_	-1	cuda_compute_flux(int, int*, float*, float*, float*)	1	fadd
26	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	305	cuda_compute_flux(int, int*, float*, float*, float*)	1	fmul
27	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	321	cuda_compute_flux(int, int*, float*, float*, float*)	1	fmul
28	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	322	cuda_compute_flux(int, int*, float*, float*, float*)	1	fsub
29	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	323	cuda_compute_flux(int, int*, float*, float*, float*)	1	fsub
30	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	324	cuda_compute_flux(int, int*, float*, float*, float*)	1	fsub
31	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	325	cuda_compute_flux(int, int*, float*, float*, float*)	1	fsub
32	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	326	cuda_compute_flux(int, int*, float*, float*, float*)	1	fsub
33	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	329	cuda_compute_flux(int, int*, float*, float*, float*)	1	fmul
34	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	330	cuda_compute_flux(int, int*, float*, float*, float*)	1	fadd
35	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	331	cuda_compute_flux(int, int*, float*, float*, float*)	1	fadd
36	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	332	cuda_compute_flux(int, int*, float*, float*, float*)	1	fadd
37	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	333	cuda_compute_flux(int, int*, float*, float*, float*)	1	fadd
38	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	334	cuda_compute_flux(int, int*, float*, float*, float*)	1	fadd
39	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	336	cuda_compute_flux(int, int*, float*, float*, float*)	1	fmul
40	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	337	cuda_compute_flux(int, int*, float*, float*, float*)	1	fadd
41	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	338	cuda_compute_flux(int, int*, float*, float*, float*)	1	fadd
42	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	339	cuda_compute_flux(int, int*, float*, float*, float*)	1	fmul
43	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	340	cuda_compute_flux(int, int*, float*, float*, float*)	1	fadd
44	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	341	cuda_compute_flux(int, int*, float*, float*, float*)	1	fadd
45	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	343	cuda_compute_flux(int, int*, float*, float*, float*)	1	fmul
46	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	344	cuda_compute_flux(int, int*, float*, float*, float*)	1	fadd
