index	file	func	line	func_pretty	is_kernel	op
0	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z24cuda_compute_step_factoriPfS_S_	208	cuda_compute_step_factor(int, float*, float*, float*)	1	fdiv
1	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z24cuda_compute_step_factoriPfS_S_	215	cuda_compute_step_factor(int, float*, float*, float*)	1	fmul
2	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z24cuda_compute_step_factoriPfS_S_	220	cuda_compute_step_factor(int, float*, float*, float*)	1	fmul
3	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z24cuda_compute_step_factoriPfS_S_	225	cuda_compute_step_factor(int, float*, float*, float*)	1	fmul
4	/opt/rocm-7.2.4/lib/llvm/lib/clang/22/include/__clang_hip_math.h	_Z24cuda_compute_step_factoriPfS_S_	722	cuda_compute_step_factor(int, float*, float*, float*)	1	sqrt
5	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z24cuda_compute_step_factoriPfS_S_	246	cuda_compute_step_factor(int, float*, float*, float*)	1	fadd
6	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	210	cuda_compute_flux(int, int*, float*, float*, float*)	1	fdiv
7	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	215	cuda_compute_flux(int, int*, float*, float*, float*)	1	fmul
8	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	220	cuda_compute_flux(int, int*, float*, float*, float*)	1	fmul
9	/opt/rocm-7.2.4/lib/llvm/lib/clang/22/include/__clang_hip_math.h	_Z17cuda_compute_fluxiPiPfS0_S0_	722	cuda_compute_flux(int, int*, float*, float*, float*)	1	sqrt
10	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	225	cuda_compute_flux(int, int*, float*, float*, float*)	1	fmul
11	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	187	cuda_compute_flux(int, int*, float*, float*, float*)	1	fmul
12	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	194	cuda_compute_flux(int, int*, float*, float*, float*)	1	fmul
13	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	200	cuda_compute_flux(int, int*, float*, float*, float*)	1	fadd
14	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	203	cuda_compute_flux(int, int*, float*, float*, float*)	1	fmul
15	<unknown>	_Z17cuda_compute_fluxiPiPfS0_S0_	-1	cuda_compute_flux(int, int*, float*, float*, float*)	1	fadd
