bench	opt	tag	instr	sites
myocyte	0	tag0	2393	549
myocyte	0	tag1	2393	549
myocyte	1	tag0	9032	479
myocyte	1	tag1	2127	477
myocyte	2	tag0	9736	481
myocyte	2	tag1	2719	477
myocyte	3	tag0	10690	480
myocyte	3	tag1	3151	476
cfd	0	tag0	175	72
cfd	0	tag1	175	72
cfd	1	tag0	635	78
cfd	1	tag1	635	78
cfd	2	tag0	214	46
cfd	2	tag1	214	46
cfd	3	tag0	214	46
cfd	3	tag1	214	46
lu	0	tag0	3	2
lu	0	tag1	3	2
lu	1	tag0	3	2
lu	1	tag1	3	2
lu	2	tag0	3	2
lu	2	tag1	3	2
lu	3	tag0	3	2
lu	3	tag1	3	2
gramschmidt	0	tag0	8	5
gramschmidt	0	tag1	8	5
gramschmidt	1	tag0	8	5
gramschmidt	1	tag1	8	5
gramschmidt	2	tag0	8	5
gramschmidt	2	tag1	8	5
gramschmidt	3	tag0	8	5
gramschmidt	3	tag1	8	5
correlation	0	tag0	14	9
correlation	0	tag1	14	9
correlation	1	tag0	12	8
correlation	1	tag1	12	8
correlation	2	tag0	12	8
correlation	2	tag1	12	8
correlation	3	tag0	12	8
correlation	3	tag1	12	8
adi	0	tag0	20	8
adi	0	tag1	20	8
adi	1	tag0	26	8
adi	1	tag1	26	8
adi	2	tag0	26	8
adi	2	tag1	26	8
adi	3	tag0	26	8
adi	3	tag1	26	8
