benchmark,mode,opt,instr,sites,invalid,divzero,overflow,underflow,subnormal
myocyte,fast,O0,5465,564,12,18,0,7,0
LU,fast,O0,3,2,1,0,0,0,0
GRAMSCHM,fast,O0,8,5,1,0,0,0,0
cfd,fast,O0,175,72,0,0,0,10,0
ADI,fast,O0,20,8,0,0,0,0,0
gaussian,fast,O0,5,3,0,0,0,0,0
hotspot,fast,O0,19,8,0,0,0,0,0
CORR,fast,O0,14,9,0,0,0,0,0
myocyte,fast,O1,5483,616,7,18,0,4,0
LU,fast,O1,3,2,1,0,0,0,0
GRAMSCHM,fast,O1,8,5,1,0,0,0,0
cfd,fast,O1,614,78,0,0,0,0,0
ADI,fast,O1,26,8,0,0,0,0,0
gaussian,fast,O1,5,3,0,0,0,0,0
hotspot,fast,O1,17,7,0,0,0,0,0
CORR,fast,O1,13,9,0,0,0,0,0
myocyte,fast,O2,5466,618,7,18,0,4,0
LU,fast,O2,3,2,1,0,0,0,0
GRAMSCHM,fast,O2,24,5,1,0,0,0,0
cfd,fast,O2,614,78,0,0,0,0,0
ADI,fast,O2,26,8,0,0,0,0,0
gaussian,fast,O2,5,3,0,0,0,0,0
hotspot,fast,O2,17,7,0,0,0,0,0
CORR,fast,O2,27,9,0,0,0,0,0
myocyte,fast,O3,6480,700,7,18,0,4,0
LU,fast,O3,3,2,1,0,0,0,0
GRAMSCHM,fast,O3,40,5,1,0,0,0,0
cfd,fast,O3,614,78,0,0,0,0,0
ADI,fast,O3,56,8,0,0,0,0,0
gaussian,fast,O3,5,3,0,0,0,0,0
hotspot,fast,O3,17,7,0,0,0,0,0
CORR,fast,O3,41,9,0,0,0,0,0
