benchmark,mode,opt,instr,sites,invalid,divzero,overflow,underflow,subnormal
myocyte,ieee,O0,5465,564,14,18,0,9,0
LU,ieee,O0,3,2,1,0,0,0,0
GRAMSCHM,ieee,O0,8,5,1,0,0,0,0
cfd,ieee,O0,175,72,0,0,0,11,11
ADI,ieee,O0,20,8,0,0,0,0,0
gaussian,ieee,O0,5,3,0,0,0,0,0
hotspot,ieee,O0,19,8,0,0,0,0,0
CORR,ieee,O0,14,9,0,0,0,0,0
myocyte,ieee,O1,5594,639,15,18,0,9,0
LU,ieee,O1,3,2,1,0,0,0,0
GRAMSCHM,ieee,O1,8,5,1,0,0,0,0
cfd,ieee,O1,635,78,0,0,0,13,13
ADI,ieee,O1,26,8,0,0,0,0,0
gaussian,ieee,O1,5,3,0,0,0,0,0
hotspot,ieee,O1,18,8,0,0,0,0,0
CORR,ieee,O1,13,9,0,0,0,0,0
myocyte,ieee,O2,5590,641,15,18,0,9,0
LU,ieee,O2,3,2,1,0,0,0,0
GRAMSCHM,ieee,O2,24,5,1,0,0,0,0
cfd,ieee,O2,635,78,0,0,0,13,13
ADI,ieee,O2,26,8,0,0,0,0,0
gaussian,ieee,O2,5,3,0,0,0,0,0
hotspot,ieee,O2,18,8,0,0,0,0,0
CORR,ieee,O2,27,9,0,0,0,0,0
myocyte,ieee,O3,6638,726,15,18,0,9,0
LU,ieee,O3,3,2,1,0,0,0,0
GRAMSCHM,ieee,O3,40,5,1,0,0,0,0
cfd,ieee,O3,635,78,0,0,0,13,13
ADI,ieee,O3,56,8,0,0,0,0,0
gaussian,ieee,O3,5,3,0,0,0,0,0
hotspot,ieee,O3,18,8,0,0,0,0,0
CORR,ieee,O3,41,9,0,0,0,0,0
myocyte,fast,O0,FAIL,FAIL,,,,,
LU,fast,O0,FAIL,FAIL,,,,,
GRAMSCHM,fast,O0,FAIL,FAIL,,,,,
cfd,fast,O0,FAIL,FAIL,,,,,
ADI,fast,O0,FAIL,FAIL,,,,,
gaussian,fast,O0,FAIL,FAIL,,,,,
hotspot,fast,O0,FAIL,FAIL,,,,,
CORR,fast,O0,FAIL,FAIL,,,,,
myocyte,fast,O1,FAIL,FAIL,,,,,
LU,fast,O1,FAIL,FAIL,,,,,
GRAMSCHM,fast,O1,FAIL,FAIL,,,,,
cfd,fast,O1,FAIL,FAIL,,,,,
ADI,fast,O1,FAIL,FAIL,,,,,
gaussian,fast,O1,FAIL,FAIL,,,,,
hotspot,fast,O1,FAIL,FAIL,,,,,
CORR,fast,O1,FAIL,FAIL,,,,,
myocyte,fast,O2,FAIL,FAIL,,,,,
LU,fast,O2,FAIL,FAIL,,,,,
GRAMSCHM,fast,O2,FAIL,FAIL,,,,,
cfd,fast,O2,FAIL,FAIL,,,,,
ADI,fast,O2,FAIL,FAIL,,,,,
gaussian,fast,O2,FAIL,FAIL,,,,,
hotspot,fast,O2,FAIL,FAIL,,,,,
CORR,fast,O2,FAIL,FAIL,,,,,
myocyte,fast,O3,FAIL,FAIL,,,,,
LU,fast,O3,FAIL,FAIL,,,,,
GRAMSCHM,fast,O3,FAIL,FAIL,,,,,
cfd,fast,O3,FAIL,FAIL,,,,,
ADI,fast,O3,FAIL,FAIL,,,,,
gaussian,fast,O3,FAIL,FAIL,,,,,
hotspot,fast,O3,FAIL,FAIL,,,,,
CORR,fast,O3,FAIL,FAIL,,,,,
