bench	opt	mode	flags	instr	sites	inv	div	ovf	unf	sub	status
myocyte	O0	fast	default	2393	549	5	18	0	0	0	OK
myocyte	O1	fast	default	1959	442	5	13	0	0	0	OK
myocyte	O2	fast	default	2471	440	5	13	0	0	0	OK
myocyte	O3	fast	default	2899	440	5	13	0	0	0	OK
LU	O0	fast	default	3	2	1	0	0	0	0	OK
LU	O1	fast	default	3	2	1	0	0	0	0	OK
LU	O2	fast	default	3	2	1	0	0	0	0	OK
LU	O3	fast	default	3	2	1	0	0	0	0	OK
GRAMSCHM	O0	fast	default	8	5	1	0	0	0	0	OK
GRAMSCHM	O1	fast	default	8	5	1	0	0	0	0	OK
GRAMSCHM	O2	fast	default	8	5	1	0	0	0	0	OK
GRAMSCHM	O3	fast	default	8	5	1	0	0	0	0	OK
ADI	O0	fast	default	20	8	0	0	0	0	0	OK
ADI	O1	fast	default	26	8	0	0	0	0	0	OK
ADI	O2	fast	default	26	8	0	0	0	0	0	OK
ADI	O3	fast	default	26	8	0	0	0	0	0	OK
cfd	O0	fast	default	175	72	0	0	0	11	11	OK
cfd	O1	fast	default	614	78	0	0	0	0	0	OK
cfd	O2	fast	default	177	42	0	0	0	0	0	OK
cfd	O3	fast	default	177	42	0	0	0	0	0	OK
gaussian	O0	fast	default	5	3	0	0	0	0	0	OK
gaussian	O1	fast	default	5	3	0	0	0	0	0	OK
gaussian	O2	fast	default	5	3	0	0	0	0	0	OK
gaussian	O3	fast	default	5	3	0	0	0	0	0	OK
hotspot	O0	fast	default	19	8	0	0	0	0	0	OK
hotspot	O1	fast	default	18	8	0	0	0	0	0	OK
hotspot	O2	fast	default	10	6	0	0	0	0	0	OK
hotspot	O3	fast	default	10	6	0	0	0	0	0	OK
CORR	O0	fast	default	14	9	0	0	0	0	0	OK
CORR	O1	fast	default	12	8	0	0	0	0	0	OK
CORR	O2	fast	default	12	8	0	0	0	0	0	OK
CORR	O3	fast	default	12	8	0	0	0	0	0	OK
