bench	opt	mode	flags	instr	sites	inv	div	ovf	unf	sub	status
myocyte	O0	ieee	default	2393	549	13	18	0	9	0	OK
myocyte	O1	ieee	default	2127	477	13	18	0	7	0	OK
myocyte	O2	ieee	default	2719	477	13	18	0	7	0	OK
myocyte	O3	ieee	default	3151	476	13	18	0	7	0	OK
LU	O0	ieee	default	3	2	1	0	0	0	0	OK
LU	O1	ieee	default	3	2	1	0	0	0	0	OK
LU	O2	ieee	default	3	2	1	0	0	0	0	OK
LU	O3	ieee	default	3	2	1	0	0	0	0	OK
GRAMSCHM	O0	ieee	default	8	5	1	0	0	0	0	OK
GRAMSCHM	O1	ieee	default	8	5	1	0	0	0	0	OK
GRAMSCHM	O2	ieee	default	8	5	FAIL	FAIL	FAIL	FAIL	FAIL	FAILED
GRAMSCHM	O3	ieee	default	8	5	1	0	0	0	0	OK
ADI	O0	ieee	default	20	8	0	0	0	0	0	OK
ADI	O1	ieee	default	26	8	0	0	0	0	0	OK
ADI	O2	ieee	default	26	8	0	0	0	0	0	OK
ADI	O3	ieee	default	26	8	0	0	0	0	0	OK
cfd	O0	ieee	default	175	72	0	0	0	11	11	OK
cfd	O1	ieee	default	635	78	0	0	0	13	13	OK
cfd	O2	ieee	default	214	46	0	0	0	3	3	OK
cfd	O3	ieee	default	214	46	0	0	0	3	3	OK
gaussian	O0	ieee	default	5	3	0	0	0	0	0	OK
gaussian	O1	ieee	default	5	3	0	0	0	0	0	OK
gaussian	O2	ieee	default	5	3	0	0	0	0	0	OK
gaussian	O3	ieee	default	5	3	0	0	0	0	0	OK
hotspot	O0	ieee	default	19	8	0	0	0	0	0	OK
hotspot	O1	ieee	default	18	8	0	0	0	0	0	OK
hotspot	O2	ieee	default	10	6	0	0	0	0	0	OK
hotspot	O3	ieee	default	10	6	0	0	0	0	0	OK
CORR	O0	ieee	default	14	9	0	0	0	0	0	OK
CORR	O1	ieee	default	12	8	0	0	0	0	0	OK
CORR	O2	ieee	default	12	8	0	0	0	0	0	OK
CORR	O3	ieee	default	12	8	0	0	0	0	0	OK
